IDENTIFICADOR,GRUPO,DISPOSITIVO,TIPO,OBJETIVO2,Tipo_bloqueo,NOMBRE NETWITNESS,RESPONSABLE,Monitoreo,status2,Fecha alta/ajuste,Fecha puesta en produccion,MITRE ATT&CK,D3FEND_EXCLUIDO,D3FEND_INFERIDO,Severidad,Escalamiento,ENVIO.HO,FUENTES,Fecha ultima validacion,Habilitado,Motivo deshabilitacion,Comentarios,Regla completa,Descripcion funcional
CU084_CASB_Anomalous_Access_Location,OTHERS,CASB,P.Interna,Detectar ubicaciones de login a servicios en la nube con geolocalizacion anomala,,CU084_CASB_Anomalous_Access_Location,,,Producción,,2020-01-01,"T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation",,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Medium,IRT,Sí,,,Si,,,"module Module_7d52a383_f85c_4b87_85a9_4051bc91c3e0;
	
        
        @Name('Module_7d52a383_f85c_4b87_85a9_4051bc91c3e0_Alert')
        @Description('')
        @RSAAlert(oneInSeconds=0)

        SELECT * FROM Event(

            (medium IN ( 32 ) AND device_type.toLowerCase() IN ( 'skyhigh_casb' ) AND event_type.toLowerCase() IN ( 'anomalousaccesslocation' ))
            AND (isNotOneOfIgnoreCase(context,{'excepción-icbc'}) OR context IS NULL)
            AND (ip_src_desc.toLowerCase() NOT IN ( '[learn on demand systems]' ))
        )
        
        
        
        ;","Caso de uso para la deteccion de incidentes de ""Anomalous Access Location"" detectados desde Skyhigh CASB"
CU085_CASB_Superhuman,OTHERS,CASB,P.Interna,Deteccion de actividades de login a servicios en la nube con dos geolocalizaciones imposibles en un periodo breve de tiempo,,CU085_CASB_Superhuman,,,Producción,,2020-01-01,"T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation",,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Medium,IRT,,,,Si,,,"module Module_7d52a383_f85c_4b87_85a9_4051bc91c3e0;
	
        
        @Name('Module_7d52a383_f85c_4b87_85a9_4051bc91c3e0_Alert')
        @Description('')
        @RSAAlert(oneInSeconds=0)

        SELECT * FROM Event(

            (medium IN ( 32 ) AND device_type.toLowerCase() IN ( 'skyhigh_casb' ) AND event_type.toLowerCase() IN ( 'superhuman' ))
           AND (isNotOneOfIgnoreCase(context,{'excepción-icbc'}) OR context IS NULL)
        )
        
        
        
        ;","Caso de uso para la deteccion de incidentes de ""superhuman"" detectados desde Skyhigh CASB"
CU086_Detecciones de ioc para el mismo usuario en bluecoat,WEB,PROXY,P.Perimetral,"Deteccion de hits a sitios con marcadores de IoC en un breve lapso de tiempo, puede implicar un remamente de botnet, droper, etc.",,CU086_Detecciones de ioc para el mismo usuario en bluecoat,,,Producción,,2020-01-01,T1189 - Drive-by Compromise,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,Medium,IRT,,cacheflowelff,,Si,,,"module nova_000086;
    @Name('nova_000086_Alert')
	@RSAAlert(oneInSeconds=3600, identifiers={""user_dst""})
	SELECT * FROM Event(
							(
							device_type.toLowerCase() IN ( 'cacheflowelff' )
							AND user_dst IS NOT NULL 
							AND ioc IS NOT NULL
                                                        AND (isNotOneOfIgnoreCase(alias_host,{ 'push.services.mozilla.com' }))
                                                        AND  (isNotOneOfIgnoreCase(filter,{ 'icbc-excepcionnavsegglobal' }))

							)
						)

						.std:groupwin(user_dst)
.std:unique(event_time)
						.win:time_length_batch(60 Minutes, 7)
				
						GROUP BY user_dst
						HAVING COUNT(*) >= 7;",
CU088_LockedAccounts,AD,WINDOWS,P.Interna,"Detección de anomalías en el proceso de autenticación de los usuarios, alerta un bloqueo masivo de cuentas de usuarios.",,CU088_LockedAccounts,,,Producción,,2020-01-01,T1110 - Brute Force,,,High,IRT,Sí,winevent_nic,,Si,,,"module CU088_LockedAccounts;
@Name('[CU088_LockedAccounts')
@Description('Detectar un volumen inusualmente alto de eventos de bloqueo de cuentas en Active Directory.')
@RSAAlert(oneInSeconds=0)

SELECT * FROM Event(

    (device_type.toLowerCase() IN ( 'winevent_nic' ) 
    AND reference_id IN ( '4740' ) 
    AND ec_outcome.toLowerCase() IN ( 'success' ))
    )
    .win:time_length_batch(5 Minutes, 100)
    HAVING COUNT(*) >= 100;",Detectar un volumen inusualmente alto de eventos de bloqueo de cuentas en Active Directory.
CU089_SWIFT Alliance Brute Force,APP_FINANCIERAS,SWIFT,P.Interna,Detección de 5 eventos de “log in no exitoso” en menos de una hora para un usuario. Log in no exitoso puede ser “password incorrecto” o “problemas con la autenticación”,,CU089_SWIFT Alliance Brute Force,,,Producción,,2020-01-01,T1110 - Brute Force,,,Medium,IRT,Sí,,,Si,,,"/*
	This basic template is a placeholder for defining basic EPL content that can be
	installed and executed in ESA. The sample below is the minimum that would be 
	required to get started.
	
	Version:  4.0
*/


/*
Module debug section. If this is empty then debugging is off.
*/

/* EPL section. If there is no text here it means there were no statements. */

    module Module_6500782345ceec53ce5bec7a;
	


		
        
        @Name('Module_6500782345ceec53ce5bec7a_Alert')
        @Description('')
        @RSAAlert(oneInSeconds=0)

        SELECT * FROM Event(
            /* Statement: Failed Login */
            (device_type.toLowerCase() IN ( 'swifttrap' ) AND ec_activity.toLowerCase() IN ( 'login' ) AND user_dst IS NOT NULL AND event_cat_name.toLowerCase() IN ( 'security' ) AND ec_outcome.toLowerCase() NOT IN ( 'success' ))
            
        )
        .std:groupwin(user_dst)
        .win:time_length_batch(120 Minutes, 10)
        GROUP BY user_dst
        HAVING COUNT(*) >= 10;",
CU090_SWIFT Integrity Compromised,APP_FINANCIERAS,SWIFT,P.Perimetral,"Detección de errores de integridad en la plataforma SWIFT, alerta una manipulación de datos no deseada",,CU090_SWIFT Integrity Compromised,,,Producción,,2022-01-01,"T1565 - Data Manipulation, T1657 - Financial Theft",,,Critical,IRT,Sí,,,Si,,,"/*
	This basic template is a placeholder for defining basic EPL content that can be
	installed and executed in ESA. The sample below is the minimum that would be 
	required to get started.
	
	Version:  4.0
*/


/*
Module debug section. If this is empty then debugging is off.
*/

/* EPL section. If there is no text here it means there were no statements. */

    module Module_654d183245ce947b89bb0972;
	


		
        
        @Name('Module_654d183245ce947b89bb0972_Alert')
        @Description('')
        @RSAAlert(oneInSeconds=0)

        SELECT * FROM Event(
            /* Statement: Compromised */
            (device_type.toLowerCase() IN ( 'swifttrap' ) AND msg_id.toLowerCase() IN ( 'aws.ivt.compromised' ))
            
        )
        
        
        
        ;",
CU091_EPO_FILE_Not_Deleted,ENDPOINTS,ANTIVIRUS,P.Interna,Genera alerta cuando un archivo no puede ser borrado desde la EPO,Manual,CU091_EPO_FILE_Not_Deleted,,,Producción,,2020-01-01,T1587.001 - Malware,,,Medium,IRT,Sí,epolicy,,Si,,,"module CU091_EPO_FILE_Not_Deleted;

    @Name('CU091_EPO_FILE_Not_Deleted_Alert')
    @Description('')
    @RSAAlert(oneInSeconds=0)
	
    SELECT * FROM PATTERN [ 
		every-distinct(host_src, 60 Minutes)
		/* File detected and delete pending */
		 e1=Event(device_type.toLowerCase() IN ( 'epolicy' ) 
		 AND checksum IS NOT NULL 
		 AND event_desc.toLowerCase() IN ( 'delete pending. a file still exists' ) 
		 AND host_src IS NOT NULL )
		->
		/* Infected File Deleted */
		timer:interval(60 Minutes) AND NOT
		 e2=Event(device_type.toLowerCase() IN ( 'epolicy' ) 
		 AND checksum IS NOT NULL 
		 AND host_src IS NOT NULL 
		 AND checksum=e1.checksum
		 AND host_src = e1.host_src
		 AND event_desc.toLowerCase() IN ( 'infected file deleted' )
		 )
		
    ];","title:  Epo file not deleted
Genera alerta cuando un archivo no puede ser borrado desde la EPO"
CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match,VARIOS,VARIOS,P.Interna,Deteccion de multiples conexiones permitidas de IPs alertadas con IOC.,,CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match,,,Producción,,2020-01-01,"T1078 - Valid Accounts, T1133 - External Remote Services",,,Medium,IRT,Sí,cacheflowelff,,Si,,,"module CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match;


@Name('CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match_Alert')

@Description('Deteccion de multiples conexiones permitidas de IPs alertadas con IOC.')
@RSAAlert(oneInSeconds=3600, identifiers={ ""ip_src""})

SELECT * FROM Event(
    (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
    AND ioc IS NOT NULL
    AND (isNotOneOfIgnoreCase(action,{ 'deny' , 'drop' }))
    AND (isOneOfIgnoreCase(direction,{ 'inbound' }))
    AND (context IS NULL OR isNotOneOfIgnoreCase(context,{ 'blocked' }))

)
.std:groupwin(ip_src , ip_dst)
.win:time_length_batch(1 Minutes, 50)
GROUP BY ip_src , ip_dst
HAVING COUNT(*) >= 50;",Deteccion de multiples conexiones permitidas de IPs alertadas con IOC.
CU093_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs,VARIOS,VARIOS,P.Interna,Detección intentos de autenticación desde IPs de nodos TOR o IPs categorizadas maliciosas por actividad relacionada con exploits de Log4j,,CU093_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs,,,Producción,,2020-01-01,"T1090.003 - Multi-hop Proxy, T1133 - External Remote Services, T1190 - Exploit Public-Facing Application",,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,IRT,Sí,,,Si,,,"module Module_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs;
        
@Name('Module_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs_Alert')
@Description('Detecta intentos de autenticación desde IPs de nodos TOR o IPs categorizadas maliciosas por actividad relacionada con exploits de Log4j')
@RSAAlert(oneInSeconds=600, identifiers={""user_dst""})

SELECT * FROM Event(
	user_dst IS NOT NULL 
	AND user_dst.toLowerCase() NOT IN ( 'n/a' )
	AND (isOneOfIgnoreCase(ioc,{ 'dan.me tor exit nodes' }) 
		OR 
		nsoc_name.toLowerCase() IN ( 'log4j exploit attemp' ))
)
.std:groupwin(user_dst)
.win:time(10 Minutes)
GROUP BY user_dst
HAVING COUNT(*) >= 1;",
CU096_Multiple_Users_Connected_to_IOC_IP,VARIOS,VARIOS,P.Interna,Detecta conexiones salientes de varios usuarios hacia IPs categorizadas como IOCs,,CU096_Multiple_Users_Connected_to_IOC_IP,,,Producción,,2020-01-01,T1566.002 - Spearphishing Link,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-MA - Message Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SMRA - Sender MTA Reputation Analysis; D3-SRA - Sender Reputation Analysis; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,High,IRT,Sí,,,Si,,,"module CU096_Multiple_Users_Connected_to_IOC_IP;

@RSAAlert(oneInSeconds=43200, identifiers={""ip_dst""})

SELECT * FROM Event(
        (isOneOfIgnoreCase(direction,{ 'outbound' }))
        AND (ip_dst_type IS NULL OR ip_dst_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist'))
	AND ioc IS NOT NULL
	AND user_dst IS NOT NULL
	AND ip_dst IS NOT NULL
        AND  (isNotOneOfIgnoreCase(filter,{ 'icbc-excepcionnavsegglobal' }))
        AND (isNotOneOfIgnoreCase(alias_host,{ 'push.services.mozilla.com' }))
)
.std:groupwin(ip_dst)
.win:time_length_batch(10 Minutes, 200)
GROUP BY ip_dst
HAVING count(distinct user_dst) > 3;",
CU098_Detection_Usage_SC_NET_Multiple_Services_Processes,VARIOS,VARIOS,P.Interna,"Detección de uso “sc.exe”, “net.exe”, “net1.exe” con parámetro (“param”) que contenga “stop” o “delete” de servicios o procesos de Windows.",,CU098_Detection_Usage_SC_NET_Multiple_Services_Processes,,,Producción,,2020-01-01,"T1068 - Exploitation for Privilege Escalation, T1685 - Disable or Modify Tools",,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,High,IRT,Sí,,,Si,,,"module CU098_Detection_Usage_SC_NET_Multiple_Services_Processes;

@Name('CU098_Detection_Usage_SC_NET_Multiple_Services_Processes_Alert')
@RSAAlert(oneInSeconds=3600, identifiers={""event_computer""})
SELECT * FROM Event(
	device_type.toLowerCase() = 'winevent_nic'
	AND
	reference_id = '4688'
	AND
	process.toLowerCase() IN ('c:\\windows\\system32\\sc.exe','c:\\windows\\system32\\net.exe','c:\\windows\\system32\\net1.exe')
	AND
	(
		(asStringArray(param)).anyOf(v => v.toLowerCase() LIKE '%stop%')
		OR
		(asStringArray(param)).anyOf(v => v.toLowerCase() LIKE '%delete%')
	)
).std:groupwin(event_computer).win:time_length_batch(10 minutes, 3).std:unique(param)
GROUP BY event_computer
HAVING COUNT(*) >= 3;",
CU099_Detection_Usage_TASKKILL_Multiple_Processes,AD,WINDOWS,P.Interna,Detección de uso de “taskkill.exe” con distintos parámetros,,CU099_Detection_Usage_TASKKILL_Multiple_Processes,,,Producción,,2020-01-01,"T1489 - Service Stop, T1685 - Disable or Modify Tools",,,High,IRT,Sí,winevent_nic,,Si,,,"module CU099_Detection_Usage_TASKKILL_Multiple_Processes;

@Name('CU099_Detection_Usage_TASKKILL_Multiple_Processes_Alert')
@RSAAlert(oneInSeconds=3600, identifiers={""event_computer""})
SELECT * FROM Event(
	device_type.toLowerCase() = 'winevent_nic'
	AND
	reference_id = '4688'
	AND
	process.toLowerCase() IN ('c:\\windows\\system32\\taskkill.exe')
	AND
	param IS NOT NULL
).std:groupwin(event_computer).win:time_length_batch(10 minutes, 3).std:unique(param)
GROUP BY event_computer
HAVING COUNT(*) >= 3;",Detección de uso de “taskkill.exe” con distintos parámetros. Alerta en un lapso de 10 minutos al menos 3 “param” distintos de un mismo host.
CU100_Possible_Phishing_Campaing,EMAIL_SECURITY,ANTISPAM,P.Interna,"Detección de evento del AntiSPAM con URL de phishing embebida y marcada por el feed ""phishingURLs"".",,CU100_Possible_Phishing_Campaing,,,Producción,,2024-07-10,T1566 - Phishing,,,Medium,IRT,Sí,,,Si,,,"module CU100_Possible_Phishing_Campaing;

@Name('CU100_Possible_Phishing_Campaing_Alert')
@RSAAlert(oneInSeconds=3600, identifiers={""subject""})
SELECT * FROM Event(

    device_type.toLowerCase() = 'forcepoint_email_security'
    AND
        (ioc_source IS NOT NULL)
    AND
        isNotOneOfIgnoreCase(action,{ 'discarded','quarantined' })
    AND
        (event_state.toLowerCase() NOT IN ( 'in allowlist' ))
     AND
       context_dst IS NULL
    AND
       (email_src.toLowerCase() NOT LIKE '%dropbox.com')

 

);","action: global
title: 'CU100_Possible_Phishing_Campaing  '

status: Producción

description: 'Detección de posible phishing'
author: SOC-ICBC_KC

Last_Update: 2024/07/10 -KC se agrego excepción para discarded para evitar falsos posivitos"
CU104_Domain_or_Tenant_Policy_Modification,AD,winevent_nic,P.Interna,"Detecta la modificación de políticas de Active Directory (AD) realizada por usuarios no autorizados y que no realizaron una solicitud previa de acceso a credenciales en Password Safe. Este comportamiento puede indicar un intento de manipular configuraciones críticas de la infraestructura de dominio, asociado a técnicas de persistencia, escalamiento de privilegios o defensa evasion.",,CU104_Domain_or_Tenant_Policy_Modification,ICBC,umbra 1 evento. Actor de interes host.dst host.src user.src user.dst,Producción,2025-06-15,2025-07-07,"T1484 - Domain or Tenant Policy Modification, T1484.001 - Group Policy Modification",,,Critical,IRT,,,,Si,,,"module CU104_Domain_or_Tenant_Policy_Modification_new;

@RSAPersist
create window UserCritics104.win:time(12 hours) (eDate string, eDevice string, 
eMessage string, eAccount string, eDstHost string, eObjType string, 
eSrcUser string, eLogID string, eTime long);




@Name('LLenar la ventana de memoria UserCritics104')
/* @Audit */
insert into UserCritics104
	SELECT 	event_time_str as eDate, 
			device_type as eDevice,
			ec_activity as eMessage,
			pbps_macc as eAccount,
			CASE WHEN pbps_asset IS NULL THEN NULL ELSE pbps_asset END AS eDstHost,
			user_src as eSrcUser,
            time as eTime

 
FROM
    Event (
        medium = 32
        AND device_type.toLowerCase() = 'pbps'
        AND ec_activity.toLowerCase() = 'retrieve'
        AND obj_type IS NOT NULL
        AND log_session_id IS NOT NULL
        AND event_time_str IS NOT NULL	
    );



@Name('CU104_Domain _or_Tenant_Policy_Modification_new_Alert')
@Description('Detecta la modificación de políticas de Active Directory (AD) realizada por usuarios no autorizados y sin solicitud previa de acceso a credenciales en Password Safe.')
@RSAAlert(oneInSeconds=3600, identifiers={""user_dst""})

SELECT * FROM Event(
    device_type.toLowerCase() IN ('winevent_nic')
    AND reference_id IN ('5137', '5141')
    AND user_dst IS NOT NULL
    AND user_dst.toLowerCase() NOT IN ('iam_ou_prod', 'gpoadm')
    AND NOT EXISTS (
        SELECT * FROM UserCritics104
        WHERE UserCritics104.eAccount.toLowerCase() = Event.user_dst.toLowerCase()
    )
);","Detecta la modificación de políticas de Active Directory (AD) realizada por usuarios no autorizados y que no realizaron una solicitud previa de acceso a credenciales en Password Safe. Este comportamiento puede indicar un intento de manipular configuraciones críticas de la infraestructura de dominio, asociado a técnicas de persistencia, escalamiento de privilegios o defensa evasion."
CU106_Possible_Spear_Phishing_Campaign_ExcoMember,EMAIL_SECURITY,ANTISPAM,P.Interna,"Detección de evento del AntiSPAM con URL de phishing embebida y marcada por el feed ""phishingURLs"" a ExcoMembers",,CU106_Possible_Spear_Phishing_Campaign_ExcoMember,Icbc,Actor de interés: domain_src,Producción,,2024-07-29,T1566 - Phishing,,,High,IRT,,,,Si,,,"module CU106_Possible_Spear_Phishing_Campaign_ExcoMember;

@Name('CUXXX_Possible_Spear_Phishing_Campaign_ExcoMember_Alert')
@RSAAlert(oneInSeconds=3600, identifiers={""domain_src""})

SELECT
    *
FROM Event(
    device_type.toLowerCase() = 'forcepoint_email_security'
    AND
        (ioc_source IS NOT NULL)
    AND
        isNotOneOfIgnoreCase(action,{ 'discarded' })
    AND NOT
        (event_state.toLowerCase() IN ( 'in allowlist' ))
     AND
       isOneOfIgnoreCase(context_dst,{ 'exco' })

);","action: global
title: 'Possible_Spear_Phishing_Campaign_ExcoMemer'

status: Producción
description: 'Detección de posible campaña de spear phishing se implemento una feed con usuarios a los que se dirige el ataque'
author: SOC-ICBC_KC
date_testing: 2024/06/15
date_prduccion: 2024/07/29"
CU107_Abnormal_System_Time_Change,AD,WINDOWS,P.Interna,"Detecció de cambio de horario de sistema, genera alerta cuando la diferencia de tiempo es +-5 segundos",,CU107_Abnormal_System_Time_Change,ICBC-NOVA,Actor de interés: user_dst,Producción,,2024-08-02,T1070 - Indicator Removal,,,High,IRT,,winevent_nic,,Si,,,"module Module_668ee595e4b00a194f024718;
import java.time.Instant;
        @Name('CU107_Abnormal_System_Time_Change')
        @Description('Cambio anormal de hora de sistema')
        @RSAAlert(oneInSeconds=5, identifiers={""user_dst""})
        SELECT * FROM Event(

            (device_type.toLowerCase() IN ( 'winevent_nic' ) 
            AND reference_id.toLowerCase() IN ( '4616' ) 
            AND user_dst.toLowerCase() NOT LIKE '%local service%'
            AND change_new IS NOT NULL
            AND change_old IS NOT NULL
            AND process.toLowerCase() NOT LIKE  '%vmtoolsd.exe' 
            AND Math.abs(Instant.parse(change_new.replaceAll(""[^\\x20-\\x7E]"", """")).toEpochMilli() - Instant.parse(change_old.replaceAll(""[^\\x20-\\x7E]"", """")).toEpochMilli() ) > 5000)
            
        )
;",
CU108_Control_de_habilitación_de_servicio_SSH_en_ESXi,S_OPERATIVOS,VmWare Esxi,P.Interna,Detección de evento de habilitación de acceso mediante SSH a los servidores ESXi.,,CU108_Control_de_habilitación_de_servicio_SSH_en_ESXi,ICBC-NOVA,Actor de interés: alias.host,Producción,,2024-08-12,"T1021.004 - SSH, T1133 - External Remote Services",,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,IRT,,,,Si,,,"/*
	This basic template is a placeholder for defining basic EPL content that can be
	installed and executed in ESA. The sample below is the minimum that would be 
	required to get started.
	
	Version:  4.0
*/


/*
Module debug section. If this is empty then debugging is off.
*/

/* EPL section. If there is no text here it means there were no statements. */

    module Module_66acd3ff45ce94c153a25bb4;
	


		
        
        @Name('Module_66acd3ff45ce94c153a25bb4_Alert')
        @Description('Detecta cuando se habilita el acceso mediante SSH a un host VmWare Esxi')
        @RSAAlert(oneInSeconds=0)

        SELECT * FROM Event(
            /* Statement: SSH detection */
            (device_type IN ( 'vmware_esx_esxi' ) AND event_desc LIKE 'SSH for the host%')
            
        )
        
        
        
        ;",Detecta cuando se habilita el acceso mediante SSH a un host VmWare Esxi
CU109_Unauthorized _modification_authorized_keys _file,PAM,PowerBroker,P.Interna,Detectar modificaciones en el archivo authorized_keys por un usurio no autorizado (posee una lista de excepcion),,CU109_Unauthorized _modification_authorized_keys _file,ICBC-NOVA,Meta: process,Producción,,2024-08-28,"T1098 - Account Manipulation, T1098.004 - SSH Authorized Keys",,,High,IRT,,pbfiles,,Si,,,"module Module_66c4dcf5e4b02b0ffc501cf8;
        @Name('Posible modificacion de archivo authorized_keys')
        @Description('Modificar este archivo permite al atacante mantener el acceso remoto al equipo de la victima mediante el uso de una llave publica como metodo de autenticacion')
        @RSAAlert(oneInSeconds=0)
        @UsesEnrichment(name=""authorized_keys_blacklist"")

        SELECT * FROM Event(
            /* Statement: pbfiles */
            (device_type.toLowerCase() IN ( 'pbfiles' )
            AND (process.toLowerCase() NOT LIKE ""%cat%"" AND process.toLowerCase() NOT LIKE ""%less%"" AND process.toLowerCase() NOT LIKE ""%more%"")
            AND process.toLowerCase() LIKE '%authorized_keys%')
            AND user_src IN (SELECT usuarios FROM authorized_keys_blacklist)
            

        )
;",
CU110_Unauthorized_user_with_DCSYNC_permission,AD,WINDOWS,P.Interna,detectar un posible ataque DCSYNC que consiste en el intento de los atacantes de replicar data de domain controllers,Manual,CU110_Unauthorized_user_with_DCSYNC_permission,NOVA,"Actor de interes reference.id '4662', accessmask.fld '0x100'",Producción,,2024-09-02,"T1003.006 - DCSync, T1078 - Valid Accounts, T1548 - Abuse Elevation Control Mechanism",,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,IRT,,winevent_nic,,Si,,,"module CU110_Unauthorized_user_with_DCSYNC_permission;

@Name('CU110_Unauthorized_user_with_DCSYNC_permission_Alert')
@Description('Detecta asignaciones de permisos DCSync (replicación de directorio) a cuentas no autorizadas en Active Directory. Esto podría permitir a un atacante replicar información sensible del dominio. Técnica asociada a MITRE ATT&CK T1003.006 (OS Credential Dumping: DCSync).')

@RSAAlert(oneInSeconds=0)

SELECT * FROM Event(
    (device_type.toLowerCase() IN ('winevent_nic') 
    AND reference_id.toLowerCase() IN ('4662') 
    AND properties_fld.toLowerCase() IN ('1131f6aa-9c07-11d1-f79f-00c04fc2dcd2', '1131f6ad-9c07-11d1-f79f-00c04fc2dcd2', '89e95b76-444d-4c62-991a-0facbeda640c') 
    AND accessmask_fld.toLowerCase() IN ('0x100') 
    AND (user_dst.toLowerCase() NOT LIKE 'arpads%$' AND user_dst.toLowerCase() NOT IN ('gpoadm','svccondeco','tenableadp')))
);",Detecta asignaciones de permisos DCSync (replicación de directorio) a cuentas no autorizadas en Active Directory. Esto podría permitir a un atacante replicar información sensible del dominio. Técnica asociada a MITRE ATT&CK T1003.006 (OS Credential Dumping: DCSync).
CU111_Vulnerability_VMware_ESXi,AD,WINDOWS,P.Interna,Detectar cuando un usuario es agregado al grupo 'esx admins',,CU111_Vulnerability_VMware_ESXi,ICBC,grupo 'esx admins',Producción,,2024-08-21,"T1069.001 - Local Groups, T1098 - Account Manipulation, T1484 - Domain or Tenant Policy Modification, T1548 - Abuse Elevation Control Mechanism",,,Critical,IRT,,,,Si,,,"module CU111_Vulnerabilidad_VMware_ESXi;

@Name('CU111_Vulnerabilidad_VMware_ESXi_Alert')
@RSAAlert(oneInSeconds=0)

SELECT * FROM Event(
    device_type.toLowerCase() = 'winevent_nic'
    AND
    reference_id = '4728'
    AND
    isOneOfIgnoreCase(`group`,{ 'esx admins' })
)","action: global
title: 'Vulnerabilidad_VMware_ESXi '

status: Producción

description: 'Explotación VMware_ESXi'
author: SOC-ICBC_KC
date_testing: 2024/06/11
date_prod: 2024/09/02"
