fila,identificador,decision,attack_anterior,attack_corregido,d3fend_anterior,d3fend_corregido,d3fend_excluido_anterior,d3fend_excluido_recalculado,d3fend_recomendado_no_inferido_por_catalogo,attack_deshabilitado_en_catalogo,motivo
26,CU083_Deteccion de tag EDR process_reputation_most_likely_malicious,REVISAR,T1587.001 - Malware,T1204.002 - Malicious File,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,D3-FA - File Analysis; D3-PA - Process Analysis,,"Reputacion de proceso malicioso EDR; T1587.001 Malware es desarrollo de capacidades, no ejecucion/deteccion en endpoint."
27,CU084_CASB_Anomalous_Access_Location,AJUSTAR,"T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation","T1078 - Valid Accounts, T1078.004 - Cloud Accounts",D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,CASB anomalous location: cuenta cloud valida con ubicacion anomala; no hay account manipulation.
28,CU085_CASB_Superhuman,AJUSTAR,"T1021 - Remote Services, T1078 - Valid Accounts, T1098 - Account Manipulation","T1078 - Valid Accounts, T1078.004 - Cloud Accounts",D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,CASB superhuman/impossible travel: uso de cuenta cloud valida; no account manipulation.
29,CU086_Detecciones de ioc para el mismo usuario en bluecoat,AJUSTAR,T1189 - Drive-by Compromise,"T1071.001 - Web Protocols, T1189 - Drive-by Compromise, T1204.001 - Malicious Link",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-APCA - Application Protocol Command Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,,D3-ACA - Active Certificate Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,Usuario navegando a IOC; puede ser drive-by/malicious link o C2 web segun contexto.
30,CU088_LockedAccounts,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis; D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,Bloqueo masivo de cuentas AD por eventos 4740; fuerza bruta/password guessing.
31,CU089_SWIFT Alliance Brute Force,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",,D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis; D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring,D3-IAA - Identifier Activity Analysis,,SWIFT logins no exitosos por usuario; brute force/password guessing.
32,CU090_SWIFT Integrity Compromised,AJUSTAR,"T1565 - Data Manipulation, T1657 - Financial Theft",T1565 - Data Manipulation,,D3-FCOA - File Content Analysis; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring,,,D3-FCOA - File Content Analysis; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring,T1565,"Errores de integridad SWIFT son data manipulation/integridad; financial theft es objetivo posible, no evidencia directa."
33,CU091_EPO_FILE_Not_Deleted,REVISAR,T1587.001 - Malware,T1204.002 - Malicious File,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,D3-FA - File Analysis; D3-PA - Process Analysis,,EPO file not deleted indica archivo malicioso no remediado; T1587.001 no aplica.
34,CU092_Suspicious_Source_to_Destination_Traffic_IOC_Match,AJUSTAR,"T1078 - Valid Accounts, T1133 - External Remote Services","T1071 - Application Layer Protocol, T1071.001 - Web Protocols",,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-URA - URL Reputation Analysis,,D3-ACA - Active Certificate Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis; D3-URA - URL Reputation Analysis,,Conexiones permitidas con IOC; T1078/T1133 no se ve en la logica.
35,CU093_Login_Attempts_From_TOR_Nodes_Log4j_Exploits_IPs,OK,"T1090.003 - Multi-hop Proxy, T1133 - External Remote Services, T1190 - Exploit Public-Facing Application","T1090.003 - Multi-hop Proxy, T1133 - External Remote Services, T1190 - Exploit Public-Facing Application",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis,D3-CAA - Connection Attempt Analysis; D3-URA - URL Reputation Analysis,,"Intentos de autenticacion desde TOR/Log4j; proxy multi-hop, servicio remoto y explotacion publica."
36,CU096_Multiple_Users_Connected_to_IOC_IP,AJUSTAR,T1566.002 - Spearphishing Link,"T1071 - Application Layer Protocol, T1071.001 - Web Protocols, T1204.001 - Malicious Link",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-MA - Message Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SMRA - Sender MTA Reputation Analysis; D3-SRA - Sender Reputation Analysis; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-APCA - Application Protocol Command Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,,D3-ACA - Active Certificate Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,Varios usuarios conectan a IOC; Spearphishing Link solo si se confirma origen phishing.
37,CU098_Detection_Usage_SC_NET_Multiple_Services_Processes,AJUSTAR,"T1068 - Exploitation for Privilege Escalation, T1685 - Disable or Modify Tools","T1489 - Service Stop, T1562.001 - Disable or Modify Tools",D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,,D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-PSMD - Process Self-Modification Detection; D3-SDM - System Daemon Monitoring,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis,T1489,"sc/net stop/delete servicios: service stop e impairment de defensas, no privilege escalation."
38,CU099_Detection_Usage_TASKKILL_Multiple_Processes,AJUSTAR,"T1489 - Service Stop, T1685 - Disable or Modify Tools","T1489 - Service Stop, T1562.001 - Disable or Modify Tools",,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,,D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-PSMD - Process Self-Modification Detection; D3-SDM - System Daemon Monitoring,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis,T1489,taskkill con multiples parametros: detencion de servicios/procesos e impairment.
39,CU100_Possible_Phishing_Campaing,AJUSTAR,T1566 - Phishing,"T1566 - Phishing, T1566.002 - Spearphishing Link",,D3-MA - Message Analysis; D3-SMRA - Sender MTA Reputation Analysis; D3-SRA - Sender Reputation Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,Phishing con URL embebida/feed phishingURLs; conviene subtecnica link.
40,CU104_Domain_or_Tenant_Policy_Modification,OK,"T1484 - Domain or Tenant Policy Modification, T1484.001 - Group Policy Modification","T1484 - Domain or Tenant Policy Modification, T1484.001 - Group Policy Modification",,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,T1484.001,Modificacion de GPO/politicas AD no autorizada; mapping correcto.
41,CU106_Possible_Spear_Phishing_Campaign_ExcoMember,AJUSTAR,T1566 - Phishing,"T1566 - Phishing, T1566.002 - Spearphishing Link",,D3-MA - Message Analysis; D3-SMRA - Sender MTA Reputation Analysis; D3-SRA - Sender Reputation Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,Spear phishing dirigido a Exco con URL; subtecnica link.
42,CU107_Abnormal_System_Time_Change,REVISAR,T1070 - Indicator Removal,T1070 - Indicator Removal,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OPM - Operational Process Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SBV - Service Binary Verification; D3-SFA - System File Analysis,D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring,,,D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring,T1070,"Cambio de hora del sistema es defensa/evasion potencial, pero ATT&CK exacto depende del objetivo; mantener generico con revision."
43,CU108_Control_de_habilitación_de_servicio_SSH_en_ESXi,OK,"T1021.004 - SSH, T1133 - External Remote Services","T1021.004 - SSH, T1133 - External Remote Services",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-OSM - Operating System Monitoring; D3-RTSD - Remote Terminal Session Detection,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-OSM - Operating System Monitoring,,Habilitacion SSH en ESXi; servicio remoto externo/SSH.
44,CU109_Unauthorized _modification_authorized_keys _file,OK,"T1098 - Account Manipulation, T1098.004 - SSH Authorized Keys","T1098 - Account Manipulation, T1098.004 - SSH Authorized Keys",,D3-FIM - File Integrity Monitoring; D3-SICA - System Init Config Analysis; D3-USICA - User Session Init Config Analysis,,,D3-FIM - File Integrity Monitoring; D3-SICA - System Init Config Analysis; D3-USICA - User Session Init Config Analysis,T1098.004,Modificacion authorized_keys: account manipulation SSH authorized keys.
45,CU110_Unauthorized_user_with_DCSYNC_permission,AJUSTAR,"T1003.006 - DCSync, T1078 - Valid Accounts, T1548 - Abuse Elevation Control Mechanism","T1003.006 - DCSync, T1098 - Account Manipulation",D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,,Asignacion de permisos DCSync: cred dumping DCSync mas manipulacion de permisos; T1548/T1078 son secundarios/no evidentes.
46,CU111_Vulnerability_VMware_ESXi,AJUSTAR,"T1069.001 - Local Groups, T1098 - Account Manipulation, T1484 - Domain or Tenant Policy Modification, T1548 - Abuse Elevation Control Mechanism",T1098 - Account Manipulation,,D3-ANAA - Administrative Network Activity Analysis; D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,,D3-ANAA - Administrative Network Activity Analysis; D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,Usuario agregado a esx admins: manipulacion de cuenta/grupo; discovery/policy/UAC no se observan.
47,CU112_Suspicious_Regsvr32_Execution,OK,T1218 - System Binary Proxy Execution,T1218 - System Binary Proxy Execution,,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,,,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,T1218,"Regsvr32 con extensiones sospechosas; System Binary Proxy Execution. Si habilitan T1218.010, usar esa subtecnica."
48,CU116_CITRIX_Massive_Brute_Force,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",,D3-CAA - Connection Attempt Analysis; D3-UBA - User Behavior Analysis,,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis; D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring,D3-CAA - Connection Attempt Analysis,,Brute force masivo Citrix por fallos de autenticacion.
49,CU117_CITRIX_Single_Origin_Brute_Force,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",,D3-CAA - Connection Attempt Analysis; D3-UBA - User Behavior Analysis,,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis; D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring,D3-CAA - Connection Attempt Analysis,,Brute force Citrix desde origen unico; password guessing.
50,CU119_AD_Modify_critics_groups,OK,T1098 - Account Manipulation,T1098 - Account Manipulation,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,Alta de usuario a grupos criticos AD; account manipulation correcto.
51,CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit,AJUSTAR,T1548.002 - Bypass User Account Control,T1499.002 - Service Exhaustion Flood,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-PSA - Process Spawn Analysis; D3-SCA - System Call Analysis,D3-APCA - Application Protocol Command Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,CVE LDAP Nightmare DoS; T1548.002 UAC no aplica. Mejor impacto/service exhaustion.
52,CU122_AD_User_Creation_Outside_IDM,AJUSTAR,T1136 - Create Account,"T1136 - Create Account, T1136.002 - Domain Account",,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,D3-UBA - User Behavior Analysis,D3-IAA - Identifier Activity Analysis,,Creacion de usuario de dominio por fuera de IDM; agregar subtecnica Domain Account.
53,CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM,AJUSTAR,"T1068 - Exploitation for Privilege Escalation, T1098 - Account Manipulation",T1098 - Account Manipulation,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,,Asignacion de grupo fuera de IDM; account manipulation. T1068 no se evidencia.
54,CU124_DC_SuspiciousActivity_EDR,REVISAR,T1587.001 - Malware,T1204.002 - Malicious File,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,D3-FA - File Analysis; D3-PA - Process Analysis,,EDR en DC sin detalle de comportamiento; T1587.001 no aplica salvo desarrollo de malware.
55,CU125_WinRegistry_UACPolicy_Access,REVISAR,"T1012 - Query Registry, T1112 - Modify Registry, T1218 - System Binary Proxy Execution, T1547.001 - Registry Run Keys / Startup Folder, T1548 - Abuse Elevation Control Mechanism","T1012 - Query Registry, T1112 - Modify Registry, T1548.002 - Bypass User Account Control",D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis; D3-SICA - System Init Config Analysis,D3-OPM - Operational Process Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-SCA - System Call Analysis,D3-OPM - Operational Process Monitoring; D3-OSM - Operating System Monitoring,,Acceso a UAC policy con reg.exe: Query Registry seguro; Modify Registry/UAC bypass solo si se confirma escritura/cambio.
56,CU126_AD_Critics_Users_logon_without_passwordsafe_request,AJUSTAR,"T1078 - Valid Accounts, T1078.002 - Domain Accounts","T1078 - Valid Accounts, T1078.002 - Domain Accounts",D3-DAM - Domain Account Monitoring; D3-UBA - User Behavior Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,,D3-IAA - Identifier Activity Analysis,,Login exitoso de cuenta critica sin Password Safe; valid domain account. No se ve modify auth process.
