fila,identificador,nombre,decision,attack_actual,attack_recomendado,cambia_attack,d3fend_actual,d3fend_recomendado_semantico,cambia_d3fend,motivo
36,CU096_Multiple_Users_Connected_to_IOC_IP,CU096_Multiple_Users_Connected_to_IOC_IP,AJUSTAR,T1566.002 - Spearphishing Link,"T1071 - Application Layer Protocol, T1071.001 - Web Protocols, T1204.001 - Malicious Link",SI,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-MA - Message Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-SMRA - Sender MTA Reputation Analysis; D3-SRA - Sender Reputation Analysis; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-APCA - Application Protocol Command Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,SI,Varios usuarios conectan a IOC; Spearphishing Link solo si se confirma origen phishing.
37,CU098_Detection_Usage_SC_NET_Multiple_Services_Processes,CU098_Detection_Usage_SC_NET_Multiple_Services_Processes,AJUSTAR,"T1068 - Exploitation for Privilege Escalation, T1685 - Disable or Modify Tools","T1489 - Service Stop, T1562.001 - Disable or Modify Tools",SI,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,SI,"sc/net stop/delete servicios: service stop e impairment de defensas, no privilege escalation."
38,CU099_Detection_Usage_TASKKILL_Multiple_Processes,CU099_Detection_Usage_TASKKILL_Multiple_Processes,AJUSTAR,"T1489 - Service Stop, T1685 - Disable or Modify Tools","T1489 - Service Stop, T1562.001 - Disable or Modify Tools",SI,,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,SI,taskkill con multiples parametros: detencion de servicios/procesos e impairment.
39,CU100_Possible_Phishing_Campaing,CU100_Possible_Phishing_Campaing,AJUSTAR,T1566 - Phishing,"T1566 - Phishing, T1566.002 - Spearphishing Link",SI,,D3-MA - Message Analysis; D3-SRA - Sender Reputation Analysis; D3-SMRA - Sender MTA Reputation Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,SI,Phishing con URL embebida/feed phishingURLs; conviene subtecnica link.
40,CU104_Domain_or_Tenant_Policy_Modification,CU104_Domain_or_Tenant_Policy_Modification,OK,"T1484 - Domain or Tenant Policy Modification, T1484.001 - Group Policy Modification","T1484 - Domain or Tenant Policy Modification, T1484.001 - Group Policy Modification",NO,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,SI,Modificacion de GPO/politicas AD no autorizada; mapping correcto.
41,CU106_Possible_Spear_Phishing_Campaign_ExcoMember,CU106_Possible_Spear_Phishing_Campaign_ExcoMember,AJUSTAR,T1566 - Phishing,"T1566 - Phishing, T1566.002 - Spearphishing Link",SI,,D3-MA - Message Analysis; D3-SRA - Sender Reputation Analysis; D3-SMRA - Sender MTA Reputation Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,SI,Spear phishing dirigido a Exco con URL; subtecnica link.
42,CU107_Abnormal_System_Time_Change,CU107_Abnormal_System_Time_Change,REVISAR,T1070 - Indicator Removal,T1070 - Indicator Removal,NO,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OPM - Operational Process Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SBV - Service Binary Verification; D3-SFA - System File Analysis,D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring,SI,"Cambio de hora del sistema es defensa/evasion potencial, pero ATT&CK exacto depende del objetivo; mantener generico con revision."
43,CU108_Control_de_habilitación_de_servicio_SSH_en_ESXi,CU108_Control_de_habilitación_de_servicio_SSH_en_ESXi,OK,"T1021.004 - SSH, T1133 - External Remote Services","T1021.004 - SSH, T1133 - External Remote Services",NO,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-RTSD - Remote Terminal Session Detection; D3-OSM - Operating System Monitoring,SI,Habilitacion SSH en ESXi; servicio remoto externo/SSH.
44,CU109_Unauthorized _modification_authorized_keys _file,CU109_Unauthorized _modification_authorized_keys _file,OK,"T1098 - Account Manipulation, T1098.004 - SSH Authorized Keys","T1098 - Account Manipulation, T1098.004 - SSH Authorized Keys",NO,,D3-FIM - File Integrity Monitoring; D3-SICA - System Init Config Analysis; D3-USICA - User Session Init Config Analysis,SI,Modificacion authorized_keys: account manipulation SSH authorized keys.
45,CU110_Unauthorized_user_with_DCSYNC_permission,CU110_Unauthorized_user_with_DCSYNC_permission,AJUSTAR,"T1003.006 - DCSync, T1078 - Valid Accounts, T1548 - Abuse Elevation Control Mechanism","T1003.006 - DCSync, T1098 - Account Manipulation",SI,D3-AEM - Application Exception Monitoring; D3-ANAA - Administrative Network Activity Analysis; D3-APCA - Application Protocol Command Analysis; D3-APM - Application Performance Monitoring; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-OSM - Operating System Monitoring,SI,Asignacion de permisos DCSync: cred dumping DCSync mas manipulacion de permisos; T1548/T1078 son secundarios/no evidentes.
46,CU111_Vulnerability_VMware_ESXi,CU111_Vulnerability_VMware_ESXi,AJUSTAR,"T1069.001 - Local Groups, T1098 - Account Manipulation, T1484 - Domain or Tenant Policy Modification, T1548 - Abuse Elevation Control Mechanism",T1098 - Account Manipulation,SI,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-ANAA - Administrative Network Activity Analysis,SI,Usuario agregado a esx admins: manipulacion de cuenta/grupo; discovery/policy/UAC no se observan.
47,CU112_Suspicious_Regsvr32_Execution,CU112_Suspicious_Regsvr32_Execution,OK,T1218 - System Binary Proxy Execution,T1218 - System Binary Proxy Execution,NO,,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,SI,"Regsvr32 con extensiones sospechosas; System Binary Proxy Execution. Si habilitan T1218.010, usar esa subtecnica."
48,CU116_CITRIX_Massive_Brute_Force,CU116_CITRIX_Massive_Brute_Force,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",SI,,D3-CAA - Connection Attempt Analysis; D3-UBA - User Behavior Analysis,SI,Brute force masivo Citrix por fallos de autenticacion.
49,CU117_CITRIX_Single_Origin_Brute_Force,CU117_CITRIX_Single_Origin_Brute_Force,AJUSTAR,T1110 - Brute Force,"T1110 - Brute Force, T1110.001 - Password Guessing",SI,,D3-CAA - Connection Attempt Analysis; D3-UBA - User Behavior Analysis,SI,Brute force Citrix desde origen unico; password guessing.
50,CU119_AD_Modify_critics_groups,CU119_AD_Modify_critics_groups,OK,T1098 - Account Manipulation,T1098 - Account Manipulation,NO,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,SI,Alta de usuario a grupos criticos AD; account manipulation correcto.
51,CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit,CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit,AJUSTAR,T1548.002 - Bypass User Account Control,T1499.002 - Service Exhaustion Flood,SI,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-PSA - Process Spawn Analysis; D3-SCA - System Call Analysis,D3-APCA - Application Protocol Command Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,CVE LDAP Nightmare DoS; T1548.002 UAC no aplica. Mejor impacto/service exhaustion.
52,CU122_AD_User_Creation_Outside_IDM,CU122_AD_User_Creation_Outside_IDM,AJUSTAR,T1136 - Create Account,"T1136 - Create Account, T1136.002 - Domain Account",SI,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,SI,Creacion de usuario de dominio por fuera de IDM; agregar subtecnica Domain Account.
53,CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM,CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM,AJUSTAR,"T1068 - Exploitation for Privilege Escalation, T1098 - Account Manipulation",T1098 - Account Manipulation,SI,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis,SI,Asignacion de grupo fuera de IDM; account manipulation. T1068 no se evidencia.
54,CU124_DC_SuspiciousActivity_EDR,CU124_DC_SuspiciousActivity_EDR,REVISAR,T1587.001 - Malware,T1204.002 - Malicious File,SI,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,SI,EDR en DC sin detalle de comportamiento; T1587.001 no aplica salvo desarrollo de malware.
55,CU125_WinRegistry_UACPolicy_Access,CU125_WinRegistry_UACPolicy_Access,REVISAR,"T1012 - Query Registry, T1112 - Modify Registry, T1218 - System Binary Proxy Execution, T1547.001 - Registry Run Keys / Startup Folder, T1548 - Abuse Elevation Control Mechanism","T1012 - Query Registry, T1112 - Modify Registry, T1548.002 - Bypass User Account Control",SI,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis; D3-SICA - System Init Config Analysis,D3-OSM - Operating System Monitoring; D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring,SI,Acceso a UAC policy con reg.exe: Query Registry seguro; Modify Registry/UAC bypass solo si se confirma escritura/cambio.
56,CU126_AD_Critics_Users_logon_without_passwordsafe_request,CU126_AD_Critics_Users_logon_without_passwordsafe_request,AJUSTAR,"T1078 - Valid Accounts, T1078.002 - Domain Accounts","T1078 - Valid Accounts, T1078.002 - Domain Accounts",NO,D3-DAM - Domain Account Monitoring; D3-UBA - User Behavior Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,Login exitoso de cuenta critica sin Password Safe; valid domain account. No se ve modify auth process.
57,CU128_FW_Forbidden_Connections_From_DMZ,CU128_FW_Forbidden_Connections_From_DMZ,AJUSTAR,"T1133 - External Remote Services, T1189 - Drive-by Compromise, T1190 - Exploit Public-Facing Application","T1021 - Remote Services, T1021.001 - Remote Desktop Protocol, T1046 - Network Service Discovery",SI,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-CAA - Connection Attempt Analysis; D3-RTSD - Remote Terminal Session Detection; D3-NTSA - Network Traffic Signature Analysis,SI,"Conexiones desde DMZ a puertos administrativos/sensibles; remote services y service discovery, no drive-by/public app exploit."
58,CU130_GPOADM_Abnormal_Host_Logon,CU130_GPOADM_Abnormal_Host_Logon,AJUSTAR,T1078 - Valid Accounts,"T1078 - Valid Accounts, T1078.002 - Domain Accounts",SI,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,GPOADMIN en host no autorizado: valid domain account.
59,CU132_File_Hash_Reputation_Analysis,CU132_File_Hash_Reputation_Analysis,AJUSTAR,T1204 - User Execution,T1204.002 - Malicious File,SI,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,SI,Hash reputacion malicioso/desconocido en ejecucion; usar Malicious File especifico.
60,CU133_EPO_Malware_Propagation_MultiHost,CU133_EPO_Malware_Propagation_MultiHost,AJUSTAR,"T1105 - Ingress Tool Transfer, T1486 - Data Encrypted for Impact, T1570 - Lateral Tool Transfer","T1105 - Ingress Tool Transfer, T1204.002 - Malicious File, T1570 - Lateral Tool Transfer",SI,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FC - File Carving; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-FA - File Analysis; D3-FH - File Hashing; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PA - Process Analysis,SI,Propagacion de malware multihost; lateral/ingress transfer y malicious file. T1486 solo si hay cifrado.
61,CU134_Chroot_Command_Execution,CU134_Chroot_Command_Execution,OK,T1059.004 - Unix Shell,T1059.004 - Unix Shell,NO,,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,SI,Ejecucion chroot en Unix/Linux; shell Unix.
62,CU135_Weblogic_exploit,CU135_Weblogic_exploit,OK,"T1059 - Command and Scripting Interpreter, T1059.004 - Unix Shell, T1105 - Ingress Tool Transfer, T1190 - Exploit Public-Facing Application","T1059 - Command and Scripting Interpreter, T1059.004 - Unix Shell, T1105 - Ingress Tool Transfer, T1190 - Exploit Public-Facing Application",NO,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Weblogic exploit con comandos/transferencia; mapping razonable.
63,CU136_NDR_single_source_multiple_destination,CU136_NDR_single_source_multiple_destination,OK,"T1018 - Remote System Discovery, T1046 - Network Service Discovery, T1595 - Active Scanning, T1595.001 - Scanning IP Blocks","T1018 - Remote System Discovery, T1046 - Network Service Discovery, T1595 - Active Scanning, T1595.001 - Scanning IP Blocks",NO,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-PSA - Process Spawn Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SBV - Service Binary Verification; D3-SCA - System Call Analysis; D3-SFA - System File Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Un origen a multiples destinos: discovery/scan interno.
64,CU140_NDR_multiple_source_to_single_destination,CU140_NDR_multiple_source_to_single_destination,AJUSTAR,T1595 - Active Scanning,"T1499.002 - Service Exhaustion Flood, T1595 - Active Scanning",SI,,D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Multiples origenes a unico destino: puede ser scan distribuido o DoS; agregar impacto DoS.
65,CU141_NDR_Critical_Severity_Events_Detected,CU141_NDR_Critical_Severity_Events_Detected,REVISAR,T1046 - Network Service Discovery,T1046 - Network Service Discovery,NO,,D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,NDR critical severity sin detalle de amenaza; T1046 solo si la alerta critical corresponde a scan/discovery.
66,CU142_NDR_detection_in_DCs,CU142_NDR_detection_in_DCs,AJUSTAR,T1548.002 - Bypass User Account Control,"T1018 - Remote System Discovery, T1046 - Network Service Discovery",SI,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-PSA - Process Spawn Analysis; D3-SCA - System Call Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-CAA - Connection Attempt Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,Actividad NDR no-DNS en DCs; T1548.002 UAC no se sustenta. Discovery/scan es mejor si la regla mira red.
67,CU143_NDR_StransIPv4Connections_withIOCs,CU143_NDR_StransIPv4Connections_withIOCs,AJUSTAR,T1071 - Application Layer Protocol,"T1071 - Application Layer Protocol, T1071.001 - Web Protocols",SI,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-URA - URL Reputation Analysis,SI,Conexiones stransipv4 con IOC; application/web protocol con reputacion.
68,CU144_AV_Alert_SeverityHigh_ByLocalUserAdministrator,CU144_AV_Alert_SeverityHigh_ByLocalUserAdministrator,REVISAR,T1685 - Disable or Modify Tools,"T1204.002 - Malicious File, T1562.001 - Disable or Modify Tools",SI,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,SI,"AV high severity por admin local; puede ser malicious file o defense impairment, pero requiere detalle del evento."
69,CU145_EDR_Alert_S4_ByLocalUserAdministrator,CU145_EDR_Alert_S4_ByLocalUserAdministrator,AJUSTAR,T1204.002 - Malicious File,"T1204.002 - Malicious File, T1562.001 - Disable or Modify Tools",SI,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,SI,EDR S4 por admin local; malicious file y posible impairment segun descripcion.
70,CU146_Proxy_WebActivity_UserGenerics_IOC,CU146_Proxy_WebActivity_UserGenerics_IOC,OK,"T1071 - Application Layer Protocol, T1071.001 - Web Protocols, T1078 - Valid Accounts","T1071 - Application Layer Protocol, T1071.001 - Web Protocols, T1078 - Valid Accounts",NO,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-IAA - Identifier Activity Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,SI,Cuenta generica navegando a IOC por proxy; web protocol y valid account.
71,CU147_AD_User_Enumeration,CU147_AD_User_Enumeration,AJUSTAR,"T1087 - Account Discovery, T1087.002 - Domain Account",T1087.002 - Domain Account,SI,D3-DAM - Domain Account Monitoring; D3-UBA - User Behavior Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,Enumeracion de usuarios AD por 4625/0xC0000064; usar subtecnica Domain Account.
72,CU148_IAM_OU_PROD_Abnormal_Host_Logon,CU148_IAM_OU_PROD_Abnormal_Host_Logon,AJUSTAR,T1078 - Valid Accounts,"T1078 - Valid Accounts, T1078.002 - Domain Accounts",SI,,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,SI,Cuenta iam_ou_prod en host no autorizado; valid domain account.
73,CU149_NDR_port_scan,CU149_NDR_port_scan,AJUSTAR,T1046 - Network Service Discovery,"T1046 - Network Service Discovery, T1595 - Active Scanning",SI,,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,SI,NDR port scan interno; agregar Active Scanning.
74,CU150_Tenable_Alert,CU150_Tenable_Alert,REVISAR,T1548.002 - Bypass User Account Control,T1595.002 - Vulnerability Scanning,SI,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-PSA - Process Spawn Analysis; D3-SCA - System Call Analysis,D3-PMAD - Protocol Metadata Anomaly Detection; D3-NTSA - Network Traffic Signature Analysis,SI,"Tenable alert no password guessing es hallazgo de vulnerabilidad/scan; T1548.002 no aplica, pero falta tipo exacto de alerta."
